Log: 2023/12/27 12:49:04 log.go:21: Wfuzz-ttoc is Starting...
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/.git (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/.git/HEAD (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/.git/index (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/.git/config (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/source (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/.git/description (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/source.php.bak (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/source.php (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/.idea/workspace.xml (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/source.php.swp (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/.source.php.bak (404 Not Found)
Log: 2023/12/27 12:49:04 log.go:21: https://ttoc.fun/README.MD (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/README (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/README.md (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/.gitignore (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/.svn (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/.svn/wc.db (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/.svn/entries (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/.hg (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/user.php.bak (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/.DS_store (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/WEB-INF/src/ (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/WEB-INF/web.xml (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/WEB-INF/classes (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/WEB-INF/lib (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/WEB-INF/database.propertie (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/CVS/Root (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/.bzr/ (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/%3f (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/CVS/Entries (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/%3f~ (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/.%3f.swp (404 Not Found)
Log: 2023/12/27 12:49:05 log.go:21: https://ttoc.fun/.%3f.swo (404 Not Found)
