Log: 2023/12/27 12:46:17 log.go:21: Wfuzz-ttoc is Starting...
Log: 2023/12/27 12:46:18 log.go:21: https://ttoc.fun/.git (404 Not Found)
Log: 2023/12/27 12:46:18 log.go:21: https://ttoc.fun/.git/index (404 Not Found)
Log: 2023/12/27 12:46:18 log.go:21: https://ttoc.fun/.git/HEAD (404 Not Found)
Log: 2023/12/27 12:46:18 log.go:21: https://ttoc.fun/.git/description (404 Not Found)
Log: 2023/12/27 12:46:18 log.go:21: https://ttoc.fun/.git/config (404 Not Found)
Log: 2023/12/27 12:46:18 log.go:21: https://ttoc.fun/source (404 Not Found)
Log: 2023/12/27 12:46:18 log.go:21: https://ttoc.fun/source.php (404 Not Found)
Log: 2023/12/27 12:46:18 log.go:21: https://ttoc.fun/source.php.bak (404 Not Found)
Log: 2023/12/27 12:46:18 log.go:21: https://ttoc.fun/.idea/workspace.xml (404 Not Found)
Log: 2023/12/27 12:46:19 log.go:21: https://ttoc.fun/.source.php.bak (404 Not Found)
Log: 2023/12/27 12:46:19 log.go:21: https://ttoc.fun/source.php.swp (404 Not Found)
Log: 2023/12/27 12:46:19 log.go:21: https://ttoc.fun/README.MD (404 Not Found)
Log: 2023/12/27 12:46:19 log.go:21: https://ttoc.fun/README.md (404 Not Found)
Log: 2023/12/27 12:46:19 log.go:21: https://ttoc.fun/README (404 Not Found)
Log: 2023/12/27 12:46:19 log.go:21: https://ttoc.fun/.gitignore (404 Not Found)
Log: 2023/12/27 12:46:19 log.go:21: https://ttoc.fun/.svn (404 Not Found)
Log: 2023/12/27 12:46:19 log.go:21: https://ttoc.fun/.svn/wc.db (404 Not Found)
Log: 2023/12/27 12:46:19 log.go:21: https://ttoc.fun/.svn/entries (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/user.php.bak (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/.hg (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/.DS_store (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/WEB-INF/web.xml (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/WEB-INF/src/ (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/WEB-INF/classes (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/WEB-INF/lib (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/CVS/Root (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/WEB-INF/database.propertie (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/CVS/Entries (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/.bzr/ (404 Not Found)
Log: 2023/12/27 12:46:20 log.go:21: https://ttoc.fun/%3f (404 Not Found)
Log: 2023/12/27 12:46:21 log.go:21: https://ttoc.fun/%3f~ (404 Not Found)
Log: 2023/12/27 12:46:21 log.go:21: https://ttoc.fun/.%3f.swp (404 Not Found)
Log: 2023/12/27 12:46:21 log.go:21: https://ttoc.fun/.%3f.swo (404 Not Found)
Log: 2023/12/27 12:46:21 log.go:21: https://ttoc.fun/.%3f.swn (404 Not Found)
Log: 2023/12/27 12:46:21 log.go:21: https://ttoc.fun/.%3f.swl (404 Not Found)
Log: 2023/12/27 12:46:21 log.go:21: https://ttoc.fun/.%3f.swm (404 Not Found)
Log: 2023/12/27 12:46:21 log.go:21: https://ttoc.fun/%3f~ (404 Not Found)
Log: 2023/12/27 12:46:21 log.go:21: https://ttoc.fun/_viminfo (404 Not Found)
Log: 2023/12/27 12:46:21 log.go:21: https://ttoc.fun/.viminfo (404 Not Found)
Log: 2023/12/27 12:46:21 log.go:21: https://ttoc.fun/%3f~1~ (404 Not Found)
Log: 2023/12/27 12:46:22 log.go:21: https://ttoc.fun/%3f~2~ (404 Not Found)
Log: 2023/12/27 12:46:22 log.go:21: https://ttoc.fun/%3f.save (404 Not Found)
Log: 2023/12/27 12:46:22 log.go:21: https://ttoc.fun/%3f~3~ (404 Not Found)
Log: 2023/12/27 12:46:22 log.go:21: https://ttoc.fun/%3f.save1 (404 Not Found)
Log: 2023/12/27 12:46:22 log.go:21: https://ttoc.fun/%3f.save2 (404 Not Found)
Log: 2023/12/27 12:46:22 log.go:21: https://ttoc.fun/%3f.save3 (404 Not Found)
Log: 2023/12/27 12:46:22 log.go:21: https://ttoc.fun/%3f.bak_Edietplus (404 Not Found)
Log: 2023/12/27 12:46:22 log.go:21: https://ttoc.fun/%3f.bak (404 Not Found)
Log: 2023/12/27 12:46:22 log.go:21: https://ttoc.fun/%3f.back (404 Not Found)
Log: 2023/12/27 12:46:22 log.go:21: https://ttoc.fun/phpinfo.php (404 Not Found)
Log: 2023/12/27 12:46:23 log.go:21: https://ttoc.fun/robots.txt (200 OK)
Log: 2023/12/27 12:46:23 log.go:21: https://ttoc.fun/.htaccess (404 Not Found)
Log: 2023/12/27 12:46:23 log.go:21: https://ttoc.fun/.bash_history (404 Not Found)
Log: 2023/12/27 12:46:23 log.go:21: https://ttoc.fun/.svn/ (404 Not Found)
Log: 2023/12/27 12:46:23 log.go:21: https://ttoc.fun/.git/ (404 Not Found)
Log: 2023/12/27 12:46:23 log.go:21: https://ttoc.fun/.index.php.swp (404 Not Found)
Log: 2023/12/27 12:46:23 log.go:21: https://ttoc.fun/index.php.swp (404 Not Found)
Log: 2023/12/27 12:46:23 log.go:21: https://ttoc.fun/index.php.bak (404 Not Found)
Log: 2023/12/27 12:46:23 log.go:21: https://ttoc.fun/.index.php~ (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/index.php.bak_Edietplus (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/index.php.~ (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/index.php.~1~ (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/index.php (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/index.php~ (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/index.php.rar (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/index.php.zip (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/index.php.7z (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/index.php.tar.gz (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/index.php.txt (404 Not Found)
Log: 2023/12/27 12:46:24 log.go:21: https://ttoc.fun/login.php (404 Not Found)
Log: 2023/12/27 12:46:25 log.go:21: https://ttoc.fun/register (404 Not Found)
